NAME,LGFE,LE,SITE_NR,POCKET_NR,POSE
1,-2.1,-0.35000000000000003,115,,./report/pdb_by_site/site_all_115_1_1.sdf
1,-2.1,-0.35000000000000003,111,,./report/pdb_by_site/site_all_111_1_2.sdf
1,-2.09,-0.34833333333333333,57,,./report/pdb_by_site/site_all_57_1_4.sdf
1,-2.063,-0.3438333333333334,36,,./report/pdb_by_site/site_all_36_1_3.sdf
2_1,-5.42,-0.9033333333333333,3,,./report/pdb_by_site/site_all_3_2_1_1.sdf
2_1,-4.890000000000001,-0.8150000000000001,9,,./report/pdb_by_site/site_all_9_2_1_1.sdf
2_1,-4.540000000000001,-0.7566666666666668,11,,./report/pdb_by_site/site_all_11_2_1_1.sdf
2_1,-4.46,-0.7433333333333333,2,,./report/pdb_by_site/site_all_2_2_1_1.sdf
2_1,-4.46,-0.7433333333333333,17,,./report/pdb_by_site/site_all_17_2_1_1.sdf
2_1,-4.37,-0.7283333333333334,2,,./report/pdb_by_site/site_all_2_2_1_2.sdf
2_1,-4.15,-0.6916666666666668,12,,./report/pdb_by_site/site_all_12_2_1_1.sdf
2_1,-3.92,-0.6533333333333333,21,,./report/pdb_by_site/site_all_21_2_1_1.sdf
2_1,-3.83,-0.6383333333333333,5,,./report/pdb_by_site/site_all_5_2_1_1.sdf
2_1,-3.75,-0.625,22,,./report/pdb_by_site/site_all_22_2_1_1.sdf
2_1,-3.7199999999999998,-0.62,19,,./report/pdb_by_site/site_all_19_2_1_1.sdf
2_1,-3.66,-0.61,9,,./report/pdb_by_site/site_all_9_2_1_2.sdf
2_1,-3.65,-0.6083333333333333,25,,./report/pdb_by_site/site_all_25_2_1_1.sdf
2_1,-3.63,-0.605,5,,./report/pdb_by_site/site_all_5_2_1_2.sdf
2_1,-3.62,-0.6033333333333334,10,,./report/pdb_by_site/site_all_10_2_1_1.sdf
2_1,-3.584,-0.5973333333333334,4,,./report/pdb_by_site/site_all_4_2_1_1.sdf
2_1,-3.57,-0.595,27,,./report/pdb_by_site/site_all_27_2_1_1.sdf
2_1,-3.55,-0.5916666666666667,41,,./report/pdb_by_site/site_all_41_2_1_1.sdf
2_1,-3.5100000000000002,-0.5850000000000001,18,,./report/pdb_by_site/site_all_18_2_1_1.sdf
2_1,-3.4779999999999998,-0.5796666666666667,10,,./report/pdb_by_site/site_all_10_2_1_2.sdf
2_1,-3.46,-0.5766666666666667,26,,./report/pdb_by_site/site_all_26_2_1_1.sdf
2_1,-3.45,-0.5750000000000001,5,,./report/pdb_by_site/site_all_5_2_1_3.sdf
2_1,-3.4400000000000004,-0.5733333333333334,20,,./report/pdb_by_site/site_all_20_2_1_1.sdf
2_1,-3.44,-0.5733333333333334,57,,./report/pdb_by_site/site_all_57_2_1_1.sdf
2_1,-3.415,-0.5691666666666667,41,,./report/pdb_by_site/site_all_41_2_1_2.sdf
2_1,-3.4000000000000004,-0.5666666666666668,3,,./report/pdb_by_site/site_all_3_2_1_2.sdf
2_1,-3.22,-0.5366666666666667,21,,./report/pdb_by_site/site_all_21_2_1_2.sdf
2_1,-3.2150000000000003,-0.5358333333333334,10,,./report/pdb_by_site/site_all_10_2_1_3.sdf
2_1,-3.2100000000000004,-0.535,24,,./report/pdb_by_site/site_all_24_2_1_1.sdf
2_1,-3.1100000000000003,-0.5183333333333334,58,,./report/pdb_by_site/site_all_58_2_1_1.sdf
2_1,-3.09,-0.515,5,,./report/pdb_by_site/site_all_5_2_1_4.sdf
2_1,-3.0,-0.5,49,,./report/pdb_by_site/site_all_49_2_1_1.sdf
2_1,-2.969,-0.4948333333333333,15,,./report/pdb_by_site/site_all_15_2_1_1.sdf
2_1,-2.96,-0.49333333333333335,56,,./report/pdb_by_site/site_all_56_2_1_1.sdf
2_1,-2.9299999999999997,-0.4883333333333333,30,,./report/pdb_by_site/site_all_30_2_1_1.sdf
2_1,-2.8699999999999997,-0.4783333333333333,70,,./report/pdb_by_site/site_all_70_2_1_1.sdf
2_1,-2.84,-0.47333333333333333,27,,./report/pdb_by_site/site_all_27_2_1_2.sdf
2_1,-2.84,-0.47333333333333333,80,,./report/pdb_by_site/site_all_80_2_1_1.sdf
2_1,-2.8,-0.4666666666666666,78,,./report/pdb_by_site/site_all_78_2_1_1.sdf
2_1,-2.76,-0.45999999999999996,11,,./report/pdb_by_site/site_all_11_2_1_2.sdf
2_1,-2.74,-0.4566666666666667,19,,./report/pdb_by_site/site_all_19_2_1_2.sdf
2_1,-2.73,-0.455,56,,./report/pdb_by_site/site_all_56_2_1_2.sdf
2_1,-2.7200000000000006,-0.4533333333333334,27,,./report/pdb_by_site/site_all_27_2_1_3.sdf
2_1,-2.7199999999999998,-0.4533333333333333,36,,./report/pdb_by_site/site_all_36_2_1_1.sdf
2_1,-2.7,-0.45,44,,./report/pdb_by_site/site_all_44_2_1_1.sdf
2_1,-2.6500000000000004,-0.4416666666666667,36,,./report/pdb_by_site/site_all_36_2_1_2.sdf
2_1,-2.645,-0.44083333333333335,20,,./report/pdb_by_site/site_all_20_2_1_2.sdf
2_1,-2.63,-0.4383333333333333,49,,./report/pdb_by_site/site_all_49_2_1_2.sdf
2_1,-2.62,-0.4366666666666667,30,,./report/pdb_by_site/site_all_30_2_1_2.sdf
2_1,-2.612,-0.43533333333333335,29,,./report/pdb_by_site/site_all_29_2_1_1.sdf
2_1,-2.6,-0.43333333333333335,77,,./report/pdb_by_site/site_all_77_2_1_1.sdf
2_1,-2.5900000000000003,-0.4316666666666667,53,,./report/pdb_by_site/site_all_53_2_1_1.sdf
2_1,-2.5699999999999994,-0.42833333333333323,80,,./report/pdb_by_site/site_all_80_2_1_2.sdf
2_1,-2.5620000000000003,-0.42700000000000005,3,,./report/pdb_by_site/site_all_3_2_1_3.sdf
2_1,-2.52,-0.42,85,,./report/pdb_by_site/site_all_85_2_1_1.sdf
2_1,-2.5,-0.4166666666666667,67,,./report/pdb_by_site/site_all_67_2_1_1.sdf
2_1,-2.49,-0.41500000000000004,77,,./report/pdb_by_site/site_all_77_2_1_2.sdf
2_1,-2.48,-0.41333333333333333,27,,./report/pdb_by_site/site_all_27_2_1_4.sdf
2_1,-2.45,-0.4083333333333334,96,,./report/pdb_by_site/site_all_96_2_1_1.sdf
2_1,-2.4000000000000004,-0.4000000000000001,79,,./report/pdb_by_site/site_all_79_2_1_1.sdf
2_1,-2.4000000000000004,-0.4000000000000001,75,,./report/pdb_by_site/site_all_75_2_1_1.sdf
2_1,-2.37,-0.395,103,,./report/pdb_by_site/site_all_103_2_1_1.sdf
2_1,-2.3600000000000003,-0.39333333333333337,58,,./report/pdb_by_site/site_all_58_2_1_2.sdf
2_1,-2.36,-0.3933333333333333,24,,./report/pdb_by_site/site_all_24_2_1_2.sdf
2_1,-2.35,-0.39166666666666666,57,,./report/pdb_by_site/site_all_57_2_1_2.sdf
2_1,-2.34,-0.38999999999999996,70,,./report/pdb_by_site/site_all_70_2_1_2.sdf
2_1,-2.29,-0.38166666666666665,108,,./report/pdb_by_site/site_all_108_2_1_1.sdf
2_1,-2.2899999999999996,-0.3816666666666666,9,,./report/pdb_by_site/site_all_9_2_1_3.sdf
2_1,-2.278,-0.37966666666666665,99,,./report/pdb_by_site/site_all_99_2_1_1.sdf
2_1,-2.26,-0.37666666666666665,10,,./report/pdb_by_site/site_all_10_2_1_4.sdf
2_1,-2.23,-0.37166666666666665,121,,./report/pdb_by_site/site_all_121_2_1_1.sdf
2_1,-2.2199999999999998,-0.36999999999999994,81,,./report/pdb_by_site/site_all_81_2_1_1.sdf
2_1,-2.18,-0.36333333333333334,85,,./report/pdb_by_site/site_all_85_2_1_2.sdf
2_1,-2.17,-0.36166666666666664,80,,./report/pdb_by_site/site_all_80_2_1_3.sdf
2_1,-2.1500000000000004,-0.3583333333333334,67,,./report/pdb_by_site/site_all_67_2_1_2.sdf
2_1,-2.14,-0.3566666666666667,116,,./report/pdb_by_site/site_all_116_2_1_1.sdf
2_1,-2.14,-0.3566666666666667,24,,./report/pdb_by_site/site_all_24_2_1_3.sdf
2_1,-2.1300000000000003,-0.35500000000000004,80,,./report/pdb_by_site/site_all_80_2_1_4.sdf
2_1,-2.12,-0.35333333333333333,22,,./report/pdb_by_site/site_all_22_2_1_2.sdf
2_1,-2.12,-0.35333333333333333,69,,./report/pdb_by_site/site_all_69_2_1_1.sdf
2_1,-2.1,-0.35000000000000003,98,,./report/pdb_by_site/site_all_98_2_1_1.sdf
2_1,-2.097,-0.3495,3,,./report/pdb_by_site/site_all_3_2_1_4.sdf
2_1,-2.08,-0.3466666666666667,26,,./report/pdb_by_site/site_all_26_2_1_2.sdf
2_1,-2.08,-0.3466666666666667,41,,./report/pdb_by_site/site_all_41_2_1_3.sdf
2_1,-2.07,-0.345,67,,./report/pdb_by_site/site_all_67_2_1_3.sdf
2_1,-2.06,-0.3433333333333333,11,,./report/pdb_by_site/site_all_11_2_1_3.sdf
2_1,-2.06,-0.3433333333333333,24,,./report/pdb_by_site/site_all_24_2_1_4.sdf
2_2,-4.640000000000001,-0.7733333333333334,36,,./report/pdb_by_site/site_all_36_2_2_1.sdf
2_2,-4.47,-0.745,3,,./report/pdb_by_site/site_all_3_2_2_1.sdf
2_2,-4.35,-0.725,2,,./report/pdb_by_site/site_all_2_2_2_1.sdf
2_2,-4.2700000000000005,-0.7116666666666668,5,,./report/pdb_by_site/site_all_5_2_2_1.sdf
2_2,-4.26,-0.71,12,,./report/pdb_by_site/site_all_12_2_2_1.sdf
2_2,-4.19,-0.6983333333333334,2,,./report/pdb_by_site/site_all_2_2_2_2.sdf
2_2,-4.19,-0.6983333333333334,17,,./report/pdb_by_site/site_all_17_2_2_1.sdf
2_2,-4.17,-0.695,5,,./report/pdb_by_site/site_all_5_2_2_2.sdf
2_2,-3.97,-0.6616666666666667,22,,./report/pdb_by_site/site_all_22_2_2_1.sdf
2_2,-3.82,-0.6366666666666666,11,,./report/pdb_by_site/site_all_11_2_2_1.sdf
2_2,-3.791,-0.6318333333333334,14,,./report/pdb_by_site/site_all_14_2_2_1.sdf
2_2,-3.79,-0.6316666666666667,26,,./report/pdb_by_site/site_all_26_2_2_1.sdf
2_2,-3.6799999999999997,-0.6133333333333333,18,,./report/pdb_by_site/site_all_18_2_2_1.sdf
2_2,-3.63,-0.605,58,,./report/pdb_by_site/site_all_58_2_2_1.sdf
2_2,-3.596,-0.5993333333333334,36,,./report/pdb_by_site/site_all_36_2_2_2.sdf
2_2,-3.54,-0.59,3,,./report/pdb_by_site/site_all_3_2_2_2.sdf
2_2,-3.54,-0.59,31,,./report/pdb_by_site/site_all_31_2_2_1.sdf
2_2,-3.5389999999999997,-0.5898333333333333,13,,./report/pdb_by_site/site_all_13_2_2_1.sdf
2_2,-3.4799999999999995,-0.58,9,,./report/pdb_by_site/site_all_9_2_2_1.sdf
2_2,-3.474,-0.5790000000000001,4,,./report/pdb_by_site/site_all_4_2_2_1.sdf
2_2,-3.4499999999999997,-0.575,21,,./report/pdb_by_site/site_all_21_2_2_1.sdf
2_2,-3.4399999999999995,-0.5733333333333333,5,,./report/pdb_by_site/site_all_5_2_2_3.sdf
2_2,-3.4299999999999997,-0.5716666666666667,25,,./report/pdb_by_site/site_all_25_2_2_1.sdf
2_2,-3.4,-0.5666666666666667,10,,./report/pdb_by_site/site_all_10_2_2_1.sdf
2_2,-3.391,-0.5651666666666667,15,,./report/pdb_by_site/site_all_15_2_2_1.sdf
2_2,-3.3200000000000003,-0.5533333333333333,36,,./report/pdb_by_site/site_all_36_2_2_3.sdf
2_2,-3.1100000000000003,-0.5183333333333334,49,,./report/pdb_by_site/site_all_49_2_2_1.sdf
2_2,-3.108,-0.518,31,,./report/pdb_by_site/site_all_31_2_2_2.sdf
2_2,-3.0799999999999996,-0.5133333333333333,21,,./report/pdb_by_site/site_all_21_2_2_2.sdf
2_2,-3.01,-0.5016666666666666,75,,./report/pdb_by_site/site_all_75_2_2_1.sdf
2_2,-2.95,-0.4916666666666667,38,,./report/pdb_by_site/site_all_38_2_2_1.sdf
2_2,-2.9499999999999997,-0.49166666666666664,30,,./report/pdb_by_site/site_all_30_2_2_1.sdf
2_2,-2.94,-0.49,9,,./report/pdb_by_site/site_all_9_2_2_2.sdf
2_2,-2.92,-0.48666666666666664,27,,./report/pdb_by_site/site_all_27_2_2_1.sdf
2_2,-2.92,-0.48666666666666664,76,,./report/pdb_by_site/site_all_76_2_2_1.sdf
2_2,-2.9,-0.48333333333333334,44,,./report/pdb_by_site/site_all_44_2_2_1.sdf
2_2,-2.8200000000000003,-0.47000000000000003,57,,./report/pdb_by_site/site_all_57_2_2_1.sdf
2_2,-2.7700000000000005,-0.4616666666666667,58,,./report/pdb_by_site/site_all_58_2_2_2.sdf
2_2,-2.7569999999999997,-0.45949999999999996,9,,./report/pdb_by_site/site_all_9_2_2_3.sdf
2_2,-2.75,-0.4583333333333333,96,,./report/pdb_by_site/site_all_96_2_2_1.sdf
2_2,-2.75,-0.4583333333333333,21,,./report/pdb_by_site/site_all_21_2_2_3.sdf
2_2,-2.75,-0.4583333333333333,19,,./report/pdb_by_site/site_all_19_2_2_1.sdf
2_2,-2.717,-0.45283333333333337,38,,./report/pdb_by_site/site_all_38_2_2_2.sdf
2_2,-2.69,-0.4483333333333333,5,,./report/pdb_by_site/site_all_5_2_2_4.sdf
2_2,-2.68,-0.4466666666666667,9,,./report/pdb_by_site/site_all_9_2_2_4.sdf
2_2,-2.67,-0.445,69,,./report/pdb_by_site/site_all_69_2_2_1.sdf
2_2,-2.669,-0.44483333333333336,40,,./report/pdb_by_site/site_all_40_2_2_1.sdf
2_2,-2.6600000000000006,-0.4433333333333334,41,,./report/pdb_by_site/site_all_41_2_2_1.sdf
2_2,-2.6500000000000004,-0.4416666666666667,25,,./report/pdb_by_site/site_all_25_2_2_2.sdf
2_2,-2.6200000000000006,-0.43666666666666676,27,,./report/pdb_by_site/site_all_27_2_2_2.sdf
2_2,-2.5999999999999996,-0.4333333333333333,70,,./report/pdb_by_site/site_all_70_2_2_1.sdf
2_2,-2.5700000000000003,-0.4283333333333334,30,,./report/pdb_by_site/site_all_30_2_2_2.sdf
2_2,-2.5500000000000007,-0.4250000000000001,10,,./report/pdb_by_site/site_all_10_2_2_2.sdf
2_2,-2.5389999999999997,-0.42316666666666664,4,,./report/pdb_by_site/site_all_4_2_2_2.sdf
2_2,-2.52,-0.42,41,,./report/pdb_by_site/site_all_41_2_2_2.sdf
2_2,-2.4859999999999998,-0.4143333333333333,27,,./report/pdb_by_site/site_all_27_2_2_3.sdf
2_2,-2.47,-0.4116666666666667,80,,./report/pdb_by_site/site_all_80_2_2_1.sdf
2_2,-2.4699999999999998,-0.4116666666666666,24,,./report/pdb_by_site/site_all_24_2_2_1.sdf
2_2,-2.466,-0.41100000000000003,31,,./report/pdb_by_site/site_all_31_2_2_3.sdf
2_2,-2.416,-0.4026666666666667,109,,./report/pdb_by_site/site_all_109_2_2_1.sdf
2_2,-2.414,-0.4023333333333334,15,,./report/pdb_by_site/site_all_15_2_2_2.sdf
2_2,-2.3850000000000002,-0.3975,65,,./report/pdb_by_site/site_all_65_2_2_1.sdf
2_2,-2.3699999999999997,-0.39499999999999996,20,,./report/pdb_by_site/site_all_20_2_2_1.sdf
2_2,-2.36,-0.3933333333333333,30,,./report/pdb_by_site/site_all_30_2_2_3.sdf
2_2,-2.3413,-0.39021666666666666,78,,./report/pdb_by_site/site_all_78_2_2_1.sdf
2_2,-2.295,-0.3825,60,,./report/pdb_by_site/site_all_60_2_2_1.sdf
2_2,-2.2899999999999996,-0.3816666666666666,27,,./report/pdb_by_site/site_all_27_2_2_4.sdf
2_2,-2.286,-0.381,58,,./report/pdb_by_site/site_all_58_2_2_3.sdf
2_2,-2.2800000000000002,-0.38000000000000006,79,,./report/pdb_by_site/site_all_79_2_2_1.sdf
2_2,-2.26,-0.37666666666666665,36,,./report/pdb_by_site/site_all_36_2_2_4.sdf
2_2,-2.247,-0.3745,38,,./report/pdb_by_site/site_all_38_2_2_3.sdf
2_2,-2.245,-0.3741666666666667,24,,./report/pdb_by_site/site_all_24_2_2_2.sdf
2_2,-2.233,-0.3721666666666667,100,,./report/pdb_by_site/site_all_100_2_2_1.sdf
2_2,-2.211,-0.3685,118,,./report/pdb_by_site/site_all_118_2_2_1.sdf
2_2,-2.1799999999999997,-0.3633333333333333,57,,./report/pdb_by_site/site_all_57_2_2_2.sdf
2_2,-2.16,-0.36000000000000004,53,,./report/pdb_by_site/site_all_53_2_2_1.sdf
2_2,-2.145,-0.3575,22,,./report/pdb_by_site/site_all_22_2_2_2.sdf
2_2,-2.139,-0.3565,38,,./report/pdb_by_site/site_all_38_2_2_4.sdf
2_2,-2.132,-0.35533333333333333,81,,./report/pdb_by_site/site_all_81_2_2_1.sdf
2_2,-2.12,-0.35333333333333333,36,,./report/pdb_by_site/site_all_36_2_2_5.sdf
2_2,-2.11,-0.3516666666666666,92,,./report/pdb_by_site/site_all_92_2_2_1.sdf
2_2,-2.092,-0.3486666666666667,90,,./report/pdb_by_site/site_all_90_2_2_1.sdf
2_2,-2.08,-0.3466666666666667,10,,./report/pdb_by_site/site_all_10_2_2_3.sdf
2_2,-2.0799999999999996,-0.3466666666666666,2,,./report/pdb_by_site/site_all_2_2_2_3.sdf
2_2,-2.045,-0.3408333333333333,69,,./report/pdb_by_site/site_all_69_2_2_2.sdf
2_2,-2.02,-0.33666666666666667,53,,./report/pdb_by_site/site_all_53_2_2_2.sdf
2_2,-2.013,-0.33549999999999996,39,,./report/pdb_by_site/site_all_39_2_2_1.sdf
2_2,-2.0100000000000002,-0.335,57,,./report/pdb_by_site/site_all_57_2_2_3.sdf
3,-4.7299999999999995,-0.946,3,,./report/pdb_by_site/site_all_3_3_1.sdf
3,-4.05,-0.8099999999999999,10,,./report/pdb_by_site/site_all_10_3_1.sdf
3,-3.88,-0.776,21,,./report/pdb_by_site/site_all_21_3_1.sdf
3,-3.79,-0.758,11,,./report/pdb_by_site/site_all_11_3_1.sdf
3,-3.7500000000000004,-0.7500000000000001,9,,./report/pdb_by_site/site_all_9_3_1.sdf
3,-3.7199999999999998,-0.744,5,,./report/pdb_by_site/site_all_5_3_1.sdf
3,-3.5500000000000003,-0.7100000000000001,15,,./report/pdb_by_site/site_all_15_3_1.sdf
3,-3.21,-0.642,10,,./report/pdb_by_site/site_all_10_3_2.sdf
3,-3.19,-0.638,2,,./report/pdb_by_site/site_all_2_3_1.sdf
3,-3.18,-0.636,5,,./report/pdb_by_site/site_all_5_3_2.sdf
3,-3.1799999999999997,-0.6359999999999999,24,,./report/pdb_by_site/site_all_24_3_1.sdf
3,-3.108,-0.6216,10,,./report/pdb_by_site/site_all_10_3_3.sdf
3,-3.0000000000000004,-0.6000000000000001,2,,./report/pdb_by_site/site_all_2_3_2.sdf
3,-2.93,-0.5860000000000001,22,,./report/pdb_by_site/site_all_22_3_1.sdf
3,-2.8800000000000003,-0.5760000000000001,27,,./report/pdb_by_site/site_all_27_3_1.sdf
3,-2.84,-0.568,20,,./report/pdb_by_site/site_all_20_3_1.sdf
3,-2.83,-0.5660000000000001,17,,./report/pdb_by_site/site_all_17_3_1.sdf
3,-2.74,-0.548,34,,./report/pdb_by_site/site_all_34_3_1.sdf
3,-2.669,-0.5338,27,,./report/pdb_by_site/site_all_27_3_2.sdf
3,-2.66,-0.532,38,,./report/pdb_by_site/site_all_38_3_1.sdf
3,-2.66,-0.532,18,,./report/pdb_by_site/site_all_18_3_1.sdf
3,-2.6500000000000004,-0.53,3,,./report/pdb_by_site/site_all_3_3_2.sdf
3,-2.62,-0.524,12,,./report/pdb_by_site/site_all_12_3_1.sdf
3,-2.5999999999999996,-0.5199999999999999,5,,./report/pdb_by_site/site_all_5_3_3.sdf
