Gene name,Entry
CD3E,P07766
CD52,P31358
CTLA4,P16410
FGF23,Q9GZV9
IGHE,P01854
IL12B,P29460
IL13,P35225
IL17A,Q16552
IL23A,Q9NPF7
IL4R,P24394
TNFRSF8,P28908
TNFSF13B,Q9Y275
TSLP,Q969D9
